Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Score Off,Score Deff,Pass Off,Pass Def,Rush Off,Rush Def,Tot Off,Tot Def
100,Hawaii,MWC (West),,8,6,4.32,-10.45,-6.13,79.68,-10.34,12.49,3.94,6.94,1.96,9.53,3.18
101,South Florida,American (East),,7,6,-1.11,-5.17,-6.28,72.88,-16.60,11.59,2.46,7.97,1.73,9.18,2.40
102,Navy,American (West),,3,10,-2.77,-4.32,-7.09,73.81,-17.60,12.12,3.27,8.49,1.80,8.90,3.05
103,Charlotte,CUSA (East),,5,7,-6.35,-0.98,-7.33,69.20,-21.29,11.98,3.63,6.97,0.52,8.50,2.43
104,Liberty,Ind,,6,6,0.36,-9.49,-9.12,78.93,-11.24,11.43,2.81,7.18,2.50,8.77,3.11
105,Coastal Carolina,Sun Belt (East),,5,7,-2.63,-6.55,-9.17,73.28,-15.13,12.43,3.51,7.88,3.18,9.16,3.72
106,Rutgers,Big Ten (East),,1,11,-11.77,2.12,-9.65,63.68,-17.89,9.35,1.79,7.29,1.72,7.79,2.10
107,Tulsa,American (West),,3,9,-6.97,-2.77,-9.74,68.73,-19.48,11.18,2.14,7.36,1.73,8.37,2.23
108,Louisville,ACC (Atlantic),,2,10,-3.61,-6.23,-9.84,73.74,-9.41,11.65,3.11,8.16,2.61,9.33,3.07
109,Nevada-Las Vegas,MWC (West),,4,8,-0.68,-9.30,-9.98,75.77,-9.89,10.09,3.64,8.24,2.25,8.64,3.26
110,Ball State,MAC (West),,4,8,-5.40,-5.10,-10.49,71.22,-14.39,10.94,2.94,7.43,2.12,8.73,2.77
111,Oregon State,Pac-12 (North),,2,10,0.63,-11.49,-10.86,76.67,-4.97,12.16,3.04,7.32,3.78,9.21,3.58
112,Massachusetts,Ind,,4,8,2.36,-13.42,-11.06,80.16,-5.56,13.18,4.04,6.92,2.45,9.55,3.39
113,East Carolina,American (East),,3,9,-7.93,-3.15,-11.08,67.91,-13.39,10.49,3.71,6.66,0.75,8.20,2.49
114,New Mexico,MWC (Mountain),,3,9,-3.64,-7.66,-11.30,74.19,-12.03,11.69,4.08,6.85,1.67,8.31,2.99
115,Akron,MAC (East),,4,8,-9.64,-2.02,-11.66,67.09,-19.33,11.18,1.83,6.38,1.72,8.24,2.08
116,Colorado State,MWC (Mountain),,3,9,-5.35,-7.39,-12.74,70.89,-12.84,11.75,4.46,6.75,2.39,9.07,3.44
117,Old Dominion,CUSA (East),,4,8,-2.40,-10.47,-12.87,76.21,-9.68,11.64,3.13,6.79,2.40,8.80,3.09
118,San Jose State,MWC (West),,1,11,-5.60,-7.33,-12.93,70.73,-12.58,11.58,3.43,5.35,1.66,8.31,2.79
119,South Alabama,Sun Belt (West),,3,9,-5.30,-8.26,-13.56,71.74,-9.62,12.25,4.42,7.00,1.48,8.72,3.09
120,Western Kentucky,CUSA (East),,3,9,-9.34,-4.78,-14.11,66.28,-17.58,10.79,2.99,6.64,1.53,8.23,2.62
121,Georgia State,Sun Belt (East),,2,10,-4.95,-9.46,-14.41,71.13,-11.03,11.39,4.64,7.80,3.09,8.94,4.15
122,Texas State,Sun Belt (West),,3,9,-9.84,-4.66,-14.50,64.38,-16.86,10.67,2.05,7.10,1.44,8.28,2.16
123,Kent State,MAC (East),,2,10,-7.93,-7.13,-15.05,69.09,-12.71,10.68,3.74,7.02,1.54,8.26,2.68
124,Bowling Green State,MAC (East),,3,9,-6.03,-9.09,-15.11,70.07,-8.81,11.53,3.17,6.51,2.64,8.55,3.13
125,Central Michigan,MAC (West),,1,11,-13.25,-2.51,-15.76,62.97,-18.80,9.15,1.63,6.50,1.51,7.27,1.80
126,Texas-San Antonio,CUSA (West),,3,9,-13.77,-2.63,-16.40,62.14,-13.07,9.41,5.09,6.02,1.26,7.27,3.27
127,New Mexico State,Ind,,3,9,-4.85,-12.74,-17.59,71.25,-5.18,10.55,3.29,6.55,1.99,8.33,2.79
128,Connecticut,American (East),,1,11,-7.24,-11.76,-18.99,68.98,-0.23,10.78,6.08,8.21,4.64,8.87,5.45
129,Rice,CUSA (West),,2,11,-11.13,-8.05,-19.18,64.48,-11.90,10.70,4.80,6.92,1.99,8.14,3.66
130,Texas-El Paso,CUSA (West),,1,11,-12.53,-10.34,-22.88,63.12,-11.17,11.10,3.38,6.68,2.39,8.18,3.04
